event,sentence
"('NOP', 'pts', '101')","Davis and Asik combined for 40 points, _STAT_ rebounds and 14 blocks, and New Orleans beat the Orlando Magic 101 84 on Tuesday."
"('Asik,Omer', 'pts', '14')","Davis and PLAYER_LAST combined for 40 points, _STAT_ rebounds and STAT blocks, and New Orleans beat the Orlando Magic 101 84 on Tuesday."
"('Asik,Omer', 'pts', '14')","Asik, acquired from Houston in an offseason trade, finished with STAT points, _STAT_ rebounds and five blocks, which also matched a career best."
"('Asik,Omer', 'trb', '17')","Asik, acquired from Houston in an offseason trade, finished with 14 STAT rebounds and five blocks, which also matched a career best."
"('Asik,Omer', 'blk', '5')","Asik, acquired from Houston in an offseason trade, finished with 14 _STAT_ rebounds and STAT blocks, which also matched a career best."
"('Anderson,Ryan', 'fg3', '3')","After Davis hit a 20 footer, PLAYER_LAST buried STAT straight STAT pointers, yelling, ""That's what I'm talking about,"" after the second."
"('Anderson,Ryan', 'fg3', '3')","After Davis hit a 20 footer, PLAYER_LAST buried STAT straight STAT pointers, yelling, ""That's what I'm talking about,"" after the second."
"('Harris,Tobias', 'pts', '25')"," PLAYER_FIRST PLAYER_LAST scored STAT points and Nikola Vucevic added _STAT_ points and _STAT_ rebounds for the Magic, who never led in the second half."
"('ORL', 'pts', '84')","Davis and Asik combined for 40 points, _STAT_ rebounds and 14 blocks, and New Orleans beat the Orlando Magic 101 84 on Tuesday."
"('Vucevic,Nikola', 'pts', '15')"," Tobias Harris scored _STAT_ points and PLAYER_FIRST PLAYER_LAST added STAT points and _STAT_ rebounds for the Magic, who never led in the second half."
"('Vucevic,Nikola', 'trb', '23')"," Tobias Harris PLAYER_FIRST PLAYER_LAST added STAT rebounds for the Magic, who never led in the second half."
"('Ellis,Monta', 'pts', '26')"," PLAYER_FIRST PLAYER_LAST scored STAT points for Dallas, and Nowitzki had 18."
"('SAS', 'fg3', '14')","San Antonio returns 14 players, most in franchise history."
